순위,책제목,저자,출판사,가격
1,파친코 1 ,"이민진, 이미정",문학사상,"13,050원"
2,파친코 2 ,"이민진, 이미정",문학사상,"13,050원"
3,2022 제13회 젊은작가상 수상작품집  ,"임솔아, 김멜라, 김병운, 김지연, 김혜진, 서수진, 서이제",문학동네,"6,930원"
4,가불 선진국 ,조국,메디치미디어,"14,400원"
5,얼굴만으론 좋아할 수 없어요 3 ,"안자이 카린, 이소연",서울미디어코믹스(서울문화사),"4,950원"
6,가라오케 가자!  ,"와야마 야마, 현승희",문학동네,"7,650원"
7,불편한 편의점 (40만부 기념 벚꽃 에디션) ,김호연,나무옆의자,"12,600원"
8,물고기는 존재하지 않는다  ,"룰루 밀러, 정지인",곰출판,"15,300원"
9,3월의 라이온 16  ,"우미노 치카, 서현아",시리얼(학산문화사),"7,200원"
10,위대한 국민의 나라 ,문재인 대통령 비서실,한즈미디어(한스미디어),"18,000원"
11,저주토끼 (리커버)  ,정보라,아작,"13,320원"
12,꽃샘바람에 흔들린다면 너는 꽃  ,류시화,수오서재,"12,150원"
13,그 해 우리는 포토 에세이 ,스튜디오S,김영사,"29,700원"
14,아무도 흔들 수 없는 나라 ,"문재인, 대통령 비서실",김영사,"18,000원"
15,웰씽킹 WEALTHINKING (10만 부 기념 한정판 골드 에디션) ,켈리 최,다산북스,"14,400원"
16,이어령의 마지막 수업 ,"김지수, 이어령",열림원,"14,850원"
17,운명을 바꾸는 부동산 투자 수업 : 기초편 ㅣ 운명을 바꾸는 부동산 투자 수업  ,부동산읽어주는남자(정태익),리더스북,"15,120원"
18,오리 부리 이야기 ㅣ 난 책읽기가 좋아  ,"황선애, 간장",비룡소,"9,900원"
19,김학렬의 부동산 투자 절대 원칙 ,김학렬(빠숑),에프엔미디어,"22,500원"
20,143층 나무 집 ㅣ 456 Book 클럽  ,"앤디 그리피스, 테리 덴톤, 신수진",시공주니어,"10,800원"
21,지리의 힘 2 ㅣ 지리의 힘 2 ,"팀 마샬, 김미선",사이,"20,700원"
22,거의 모든 행동 표현의 영어 ,서영조,사람in,"14,400원"
23,10배의 법칙  ,"그랜트 카돈, 최은아",부키,"15,120원"
24,여름이 온다 ㅣ 비룡소의 그림동화 297  ,이수지,비룡소,"24,300원"
25,그림들  ,SUN 도슨트,나무의마음,"17,820원"
26,나의 아저씨 1~2 세트 - 전2권 ㅣ 인생드라마 작품집 시리즈  ,박해영,세계사,"44,640원"
27,"어서 오세요, 휴남동 서점입니다 ",황보름,클레이하우스,"13,500원"
28,마음의 법칙 ,"폴커 키츠, 마누엘 투쉬, 김희상",포레스트북스,"14,400원"
29,도파민네이션 ,"애나 렘키, 김두완",흐름출판,"16,200원"
30,운명을 바꾸는 부동산 투자 수업 : 실전편 ㅣ 운명을 바꾸는 부동산 투자 수업  ,부동산읽어주는남자(정태익),리더스북,"15,120원"
31,"아무튼, 노래 ㅣ 아무튼 시리즈 49 ",이슬아,위고,"10,800원"
32,원피스 101  ,오다 에이치로,대원씨아이(만화),"4,950원"
33,전생했더니 슬라임이었던 건에 대하여 19 ,"후세, 밋츠바, 도영명",㈜소미미디어,"9,900원"
34,놓아주는 엄마 주도하는 아이 ,"윌리엄 스틱스러드, 네드 존슨, 이영래",쌤앤파커스,"15,750원"
35,태쁘의 퇴마부 1 ,"태쁘, 김혜련, 이소연, 샌드박스 네트워크",겜툰,"11,700원"
36,보도 섀퍼의 이기는 습관  ,"보도 섀퍼, 박성원",토네이도,"15,300원"
37,내가 모르는 사이에 ㅣ 웅진책마을 112 ,"김화요, 오윤화",웅진주니어,"9,000원"
38,다산의 마지막 질문 ㅣ 다산의 마지막 시리즈   ,조윤제,청림출판,"15,300원"
39,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩) ㅣ ETS 토익 정기시험 기출문제집  ,ETS,(주)YBM(와이비엠),"16,020원"
40,돈의 심리학 (10만 부 기념 골드 에디션) ,"모건 하우절, 이지연",인플루엔셜(주),"17,820원"
41,2022 민준호 독학 행정법 필기노트 ,민준호,호인북스,"19,800원"
42,오은영의 화해 (리커버) ,오은영,코리아닷컴(Korea.com),"14,400원"
43,이웃집 백만장자 변하지 않는 부의 법칙 ,"토머스 J. 스탠리, 세라 스탠리 팰로, 김미정",비즈니스북스,"15,120원"
44,아야카시 트라이앵글 1 ,"야부키 켄타로, 도영명",서울미디어코믹스(서울문화사),"4,950원"
45,아야카시 트라이앵글 2 ,"야부키 켄타로, 도영명",서울미디어코믹스(서울문화사),"4,950원"
46,지구 끝의 온실  ,김초엽,자이언트북스,"13,500원"
47,해커스 토익 기출 보카 TOEIC VOCA 단어장 ,David Cho,해커스어학연구소(Hackers),"11,610원"
48,열혈강호 85 ,"전극진, 양재현",대원씨아이(만화),"4,950원"
49,"아무튼, 피아노 ㅣ 아무튼 시리즈 48 ",김겨울,제철소,"10,800원"
50,"2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상 ㅣ 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 시리즈  ",최태성,이투스북,"13,500원"
51,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝) ㅣ ETS 토익 정기시험 기출문제집  ,ETS,(주)YBM(와이비엠),"16,020원"
52,도원암귀 4 ㅣ S코믹스  ,"우루시바라 유라, 천선필",㈜소미미디어,"4,950원"
53,왜 아플까  ,"벤저민 빅먼, 이영래, 황성혁",북드림,"15,300원"
54,오래되고 멋진 클래식 레코드 ,"무라카미 하루키, 홍은주",문학동네,"22,500원"
55,행정법 엑기스 Handbook ,정선균,필통북스,"19,800원"
56,긴긴밤 ㅣ 보름달문고 83 ,루리,문학동네,"10,350원"
57,낯선 사람에게 말 걸기 ,"폴 오스터, 김석희, 민승남, 이종인, 황보석",열린책들,"16,020원"
58,내가 같이 뛰어내려 줄게 ,씨씨코,다산북스,"14,400원"
59,소설 보다 : 봄 2022 ㅣ 소설 보다   ,"김병운, 위수정, 이주혜",문학과지성사,"3,150원"
60,나는 3학년 2반 7번 애벌레 ㅣ 첫 읽기책 8 ,"김원아, 이주희",창비,"8,100원"
61,어떻게 살아야 하는가 ,"이나모리 가즈오, 김윤경",다산북스,"15,300원"
62,2022 심우철 실전동형 모의고사 Season 3 ㅣ 2022 심우철 실전동형 모의고사  ,심우철,심슨북스,"14,400원"
63,믹스 MIX 18  ,"아다치 미츠루, 강동욱",대원씨아이(만화),"4,950원"
64,시맨틱 에러 포토에세이 ,"왓챠, 래몽래인",blackD(블랙디),"19,800원"
65,2022 이동기 영어 실전동형 모의고사 Vol.2 - 전2권 ㅣ 2022 이동기 영어 실전동형 모의고사 2 ,이동기,에스티유니타스,"15,300원"
66,주식 멘토 김현구의 주식 잘 사고 잘 파는 법 ,김현구,메이트북스,"17,100원"
67,위기주도학습법 ,임현서,스튜디오오드리,"12,600원"
68,롤랑의 노래  ,김준한,휴머니스트,"19,800원"
69,"2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하 ㅣ 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 시리즈  ",최태성,이투스북,"13,050원"
70,흔한남매 불꽃 튀는 우리말 5 ㅣ 흔한남매 불꽃 튀는 우리말 5 ,"한은호, 흔한남매, 유희석, 흔한컴퍼니",다산어린이,"11,700원"
71,백광 ,"렌조 미키히코, 양윤옥",모모,"13,050원"
72,손석희의 앵커브리핑 1 ㅣ 손석희의 앵커브리핑 1 ,"손석희, 김현정",역사비평사,"16,200원"
73,2022 신용한 행정학 실전과 가장 유사한 지방직 9급 대비 모의고사 ,"신용한, SK100수험연구소",메가스터디교육(공무원),"10,800원"
74,도쿄 에일리언즈 2 ,"NAOE, 박소현",서울미디어코믹스(서울문화사),"4,500원"
75,인생이 지옥처럼 느껴질 때 ,"마샤 리네한, 정미나, 박지니, 서수연",비잉(Being),"18,000원"
76,"칵테일, 러브, 좀비 ㅣ 안전가옥 쇼-트 2  ",조예은,안전가옥,"9,000원"
77,룩 백 ,후지모토 타츠키,학산문화사(만화),"5,400원"
78,지리의 힘 ㅣ 지리의 힘 1  ,"팀 마샬, 김미선",사이,"15,300원"
79,손석희의 앵커브리핑 2 ㅣ 손석희의 앵커브리핑 2 ,"손석희, 김현정",역사비평사,"16,200원"
80,부자 아빠 가난한 아빠 1 (20주년 특별 기념판)  ,"로버트 기요사키, 안진환",민음인,"14,220원"
81,데일 카네기 자기관리론 ,"데일 카네기, 임상훈",현대지성,"10,350원"
82,예의 없는 친구들을 대하는 슬기로운 말하기 사전 ㅣ 슬기사전 2 ,"김원아, 김소희",사계절,"11,700원"
83,2022 주택과 세금 ,국세청 부동산납세과,DTW(더존테크윌),"7,000원"
84,2022 써니 행정법총론 단원별 모의고사 - 전2권 ,박준철,에스티유니타스,"18,900원"
85,테라피스트 ,"B. A. 패리스, 박설영",모모,"14,400원"
86,사피엔스 ㅣ 인류 3부작 시리즈   ,"유발 하라리, 조현욱, 이태수",김영사,"19,800원"
87,달러구트 꿈 백화점 ㅣ 달러구트 꿈 백화점   ,이미예,팩토리나인,"12,420원"
88,진짜 쓰는 실무 엑셀 ㅣ 진짜 쓰는 시리즈  ,오빠두(전진권),제이펍,"18,900원"
89,현명한 반도체 투자 ,우황제,이레미디어,"17,550원"
90,2022 써니 행정법총론 실전동형 모의고사 - 전2권 ,박준철,지금(도서출판),"9,000원"
91,루호 ㅣ 창비아동문고 323 ,"채은하, 오승민",창비,"9,720원"
92,SQL 자격검정 실전문제 ,한국데이터산업진흥원,한국데이터산업진흥원,"17,460원"
93,프레임의 힘 ,"케네스 쿠키어, 빅토어 마이어 쇤버거, 프랑시스 드 베리쿠르, 김경일, 김태훈",21세기북스,"17,820원"
94,스파이 패밀리 1 ,엔도 타츠야,학산문화사(만화),"5,400원"
95,농부 달력 ㅣ 웅진 모두의 그림책 44 ,김선진,웅진주니어,"12,600원"
96,푸른 사자 와니니 ㅣ 창비아동문고 280 ,"이현, 오윤화",창비,"9,720원"
97,H마트에서 울다 ,"미셸 자우너, 정혜윤",문학동네,"14,400원"
98,김경일의 지혜로운 인간생활 ,김경일,저녁달,"15,750원"
99,밝은 밤  ,최은영,문학동네,"13,050원"
100,월요일의 타와와 : 청판 1 ,히무라 키세키,학산문화사(만화),"8,100원"
101,마법사의 신부 13 ,야마자키 코레,학산문화사(만화),"5,400원"
102,설민석의 한국사 대모험 20 ㅣ 설민석의 한국사 대모험 20 ,"설민석, 스토리박스, 정현희, 강석화",아이휴먼,"10,800원"
103,수학 잘하는 아이를 만드는 초등수학 심화 공부법 ㅣ 초중고로 이어지는 바른 공부습관 3 ,류승재,블루무스,"19,800원"
104,2022 유휘운 행정법총론 요약노트 + 기출문제 ,유휘운,메가스터디교육(공무원),"15,300원"
105,2023 ACL 강해준 경찰학 OX 문제집 4.0 ,강해준,에이씨엘커뮤니케이션,"15,300원"
106,좀비고등학교 코믹스 시즌2 3 ㅣ 좀비고등학교코믹스 시즌2 3 ,"박순영, 라임스튜디오",겜툰,"8,820원"
107,거의 모든 것의 역사  ,"빌 브라이슨, 이덕환",까치,"22,500원"
108,데일 카네기 인간관계론 ,"데일 카네기, 임상훈",현대지성,"10,350원"
109,세금의 세계사  ,"도미닉 프리스비, 조용빈",한빛비즈,"16,020원"
110,스파이 패밀리 2 ,엔도 타츠야,학산문화사(만화),"5,400원"
111,킹스메이커 트리플 크라운 5  ,"하가, 강지영",재담북스,"15,300원"
112,"돈, 뜨겁게 사랑하고 차갑게 다루어라 ㅣ 코스톨라니 투자총서 1  ","앙드레 코스톨라니, 한윤진",미래의창,"10,800원"
113,마음에 없는 소리  ,김지연,문학동네,"13,050원"
114,킹스메이커 트리플 크라운 7  ,"하가, 강지영",재담북스,"15,300원"
115,스파이 패밀리 3 ,엔도 타츠야,학산문화사(만화),"5,400원"
116,거꾸로 읽는 세계사 ,유시민,돌베개,"15,750원"
117,읽기  ,"가야트리 차크라보르티 스피박, 안준범",리시올,"15,300원"
118,파이어 FIRE  ,강환국,페이지2(page2),"16,200원"
119,우리는 여전히 삶을 사랑하는가  ,"에리히 프롬, 라이너 풍크, 장혜경",김영사,"14,220원"
120,킹스메이커 트리플 크라운 6  ,"하가, 강지영",재담북스,"15,300원"
121,고양이 해결사 깜냥 4 ㅣ 고양이 해결사 깜냥 4 ,"홍민정, 김재희",창비,"9,900원"
122,스파이 패밀리 4 ,엔도 타츠야,학산문화사(만화),"5,400원"
123,2022 선재국어 실전 봉투 모의고사 1 ㅣ 2022 선재국어 실전 봉투 모의고사  ,이선재,에스티유니타스,"11,700원"
124,흔한남매 오해요 ,"흔한남매, 백난도, 유난희, 흔한컴퍼니",미래엔아이세움,"12,150원"
125,스파이 패밀리 8 ,엔도 타츠야,학산문화사(만화),"5,400원"
126,달러구트 꿈 백화점 2 ㅣ 달러구트 꿈 백화점   ,이미예,팩토리나인,"12,420원"
127,극장판 주술회전 0 노벨라이즈 ,"아쿠타미 게게, 기타구니 발라드, 유유리, 세코 히로시",서울미디어코믹스(서울문화사),"8,550원"
128,스파이 패밀리 7 ,엔도 타츠야,학산문화사(만화),"5,400원"
129,따라 하면 무조건 돈 버는 실전 부동산 경매 ,"유근용, 정민우",비즈니스북스,"19,800원"
130,부동산 절세의 기술 ,"김동우, 최왕규, 송희창(송사무장)",지혜로,"17,100원"
131,아몬드 (양장)  ,손원평,창비,"10,800원"
132,럭키 드로우 ,드로우앤드류,다산북스,"14,400원"
133,배우의 방 ㅣ 자기만의 방  ,정시우,휴머니스트,"16,200원"
134,일하고 일하고 사랑을 하고 ㅣ 창비시선 472  ,최지인,창비,"8,100원"
135,스파이 패밀리 6 ,엔도 타츠야,학산문화사(만화),"5,400원"
136,"인종, 국민, 계급 ㅣ 접경인문학 이론총서 1 ","에티엔 발리바르, 이매뉴얼 월러스틴, 김상운",두번째테제,"22,500원"
137,흔한남매 과학 탐험대 4 : 물질 ㅣ 흔한남매 과학 탐험대 4 ,"흔한남매, 이현진, 닥터 스코, 김덕영, 최진수, 정현철, 김희목, 권경아, 최진수",주니어김영사,"12,600원"
138,시점의 힘 ㅣ 내 글이 작품이 되는 법  ,"샌드라 거스, 지여울",윌북,"12,420원"
139,2022 해커스공무원 신민숙 하프모의고사 국어 2 : 합격편 (9급 공무원 7급 지방직) ㅣ 2022 해커스공무원 하프모의고사  ,신민숙,해커스공무원,"12,600원"
140,세력주 매매 공식 ,와조스키,경향BP,"13,500원"
141,코미 양은 커뮤증입니다 22 ㅣ S코믹스  ,"오다 토모히토, 박경용",㈜소미미디어,"4,500원"
142,전생했더니 슬라임이었던 건에 대하여 19 ㅣ S코믹스  ,"카와카미 타이키, 후세, 밋츠바, 도영명",㈜소미미디어,"4,950원"
143,2022 문동균 한국사 실전 봉투 모의고사 ,문동균,에스티유니타스,"7,650원"
144,2022 노동법기출 사례노트 ,이수진,경연,"34,200원"
145,성공의 문을 여는 마스터키 ,"찰스 F. 해낼, 김우열",샨티,"13,500원"
146,세계 심리학 필독서 30 ㅣ 필독서 시리즈 1 ,"사토 다쓰야, 박재영",센시오,"16,020원"
147,2022 에듀윌 공기업 ALL NCS 코레일 최최종 봉투모의고사 7회 ,에듀윌 취업연구소,에듀윌,"12,600원"
148,도쿄 에일리언즈 1 ,"NAOE, 박소현",서울미디어코믹스(서울문화사),"4,500원"
149,나츠메 우인장 27 ,"미도리카와 유키, 서현아",학산문화사(만화),"5,400원"
150,2022 해커스공무원 실전동형모의고사 국어 2 12회 (7급공무원 9급공무원) ㅣ 2022 해커스 공무원 실전동형모의고사  ,해커스 공무원시험연구소,해커스공무원,"15,300원"
151,이거 정말 맛있습니다 ,유튜버 자취요리신,종이향기(인성재단),"19,800원"
152,어떻게 말해줘야 할까 ,"오은영, 차상미",김영사,"15,750원"
153,에그박사 6 ㅣ 에그박사 6 ,"에그박사, 박송이, 홍종현, 장민호",미래엔아이세움,"12,150원"
154,"행복을 파는 브랜드, 오롤리데이 ",박신후,블랙피쉬,"15,300원"
155,첫 문장의 힘 ㅣ 내 글이 작품이 되는 법  ,"샌드라 거스, 지여울",윌북,"13,320원"
156,2022 수제비 정보처리기사 실기 1권+2권 합본세트 ㅣ 2022 수제비 정보처리기사/정보처리산업기사  ,NCS 정보처리기술사 연구회,건기원,"31,500원"
157,부의 인문학 (20만부 기념 개정증보판) ,우석(브라운스톤),오픈마인드,"15,300원"
158,픽사 스토리텔링 ,"매튜 룬, 박여진",현대지성,"13,500원"
159,아끼고 아낀 말 ,정세운,위즈덤하우스,"14,400원"
160,백귀야행 29  ,"이마 이치코, 한나리",시공사(만화),"4,500원"
161,2022 해커스공무원 실전동형모의고사 영어 2 12회 (9급공무원) ㅣ 2022 해커스 공무원 실전동형모의고사  ,해커스 공무원시험연구소,해커스공무원,"15,300원"
162,김락희의 인체 드로잉 ,"김락희, 윤관현",성안당,"31,500원"
163,2022 이유진 국어 화제의 모의고사 (봉투형) ,"이유진, 최형우",고시동네,"11,700원"
164,안녕 주정뱅이 (리커버 특별판) ,권여선,창비,"12,150원"
165,2022 해커스공무원 실전동형모의고사 한국사 2 16회 (9급공무원) ㅣ 2022 해커스 공무원 실전동형모의고사  ,해커스 공무원시험연구소,해커스공무원,"15,300원"
166,오십에 읽는 논어 ,최종엽,유노북스,"14,400원"
167,2022 고종훈 한국사 동형모의고사 시즌 2 ㅣ 2022 고종훈 한국사 동형모의고사  ,고종훈,메가스터디교육(공무원),"14,400원"
168,돈의 속성 (200쇄 기념 개정 증보판/양장본)  ,김승호,스노우폭스북스,"16,020원"
169,도쿄 리벤저스 23 ,와쿠이 켄,학산문화사(만화),"5,400원"
170,원펀맨 One Punch Man 24 ,"ONE, 무라타 유스케",대원씨아이(만화),"4,950원"
171,어린이라는 세계  ,김소영,사계절,"13,500원"
172,부의 추월차선 (10주년 스페셜 에디션) ,"엠제이 드마코, 신소영",토트,"15,750원"
173,유령의 마음으로  ,임선우,민음사,"11,700원"
174,"거미입니다만, 문제라도? 15 ","바바 오키나, 키류 츠카사, 김성래",디앤씨미디어(주)(D&C미디어),"9,000원"
175,"소크라테스 익스프레스 (25만 부 기념 봄 에디션, 양장) ","에릭 와이너, 김하현",어크로스,"16,200원"
176,나보코프 단편전집 ,"블라디미르 나보코프, 김윤하",문학동네,"38,700원"
177,2022 신광은 형사법 ,신광은,에스케이법률연구소,"19,800원"
178,체리새우 : 비밀글입니다 ㅣ 문학동네 청소년 42 ,황영미,문학동네,"10,350원"
179,2022 이동기 영어 기적의 특강 ,이동기,에스티유니타스,"13,500원"
180,파이브 스타 스토리 The Five Star Stories 16 ,나가노 마모루,서울미디어코믹스(서울문화사),"10,800원"
181,정재승의 인류 탐험 보고서 3 ㅣ 어린이를 위한 호모 사피엔스 뇌과학  ,"정재승, 차유진, 김현민, 백두성",아울북,"12,600원"
182,김헌의 그리스 로마 신화 ,김헌,을유문화사,"18,000원"
183,미드나잇 라이브러리 ,"매트 헤이그, 노진선",인플루엔셜(주),"14,220원"
184,"빠졌어, 너에게 ","와야마 야마, 김진희",문학동네,"7,650원"
185,"큰별쌤 최태성의 별★별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급) ㅣ 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 시리즈  ",최태성,이투스북,"16,200원"
186,대박 쉽게 숙제하는 법 ㅣ 난 책읽기가 좋아  ,"천효정, 김무연",비룡소,"9,000원"
187,공정하다는 착각 (특별 양장본) ,"마이클 샌델, 함규진",와이즈베리,"16,200원"
188,타이탄의 도구들 (알라딘 단독 리커버) ,"팀 페리스, 박선령, 정지현",토네이도,"13,500원"
189,TV 애니메이션 주술회전 1st season 컴플리트 북 ,"아쿠타미 게게, 이정운",서울미디어코믹스(서울문화사),"24,300원"
190,영어 필사 100일의 기적 ,퍼포먼스 코치 리아,넥서스,"13,500원"
191,잘 살아라 그게 최고의 복수다 ,권민창,마인드셋,"13,500원"
192,채소 마스터 클래스  ,"백지혜, 정멜멜",세미콜론,"20,700원"
193,설민석의 세계사 대모험 12 ㅣ 설민석의 세계사 대모험 12 ,"설민석, 김정욱, 박성일, 원태준",단꿈아이,"10,800원"
194,2022 에듀윌 스포츠지도사 필기 한권끝장 ㅣ 2022 에듀윌 스포츠지도사  ,"정수봉, 이준영, 원효리, 이성열, 임다연, 이재우",에듀윌,"26,100원"
195,스파이 패밀리 5 ,엔도 타츠야,학산문화사(만화),"5,400원"
196,2022 시험용법전 ,현암사 법전부,현암사,"34,200원"
197,코스모스 ,"칼 세이건, 홍승수",사이언스북스,"16,650원"
198,여학교의 별 1 ,"와야마 야마, 현승희",문학동네,"7,650원"
199,이기적 유전자  ,"리처드 도킨스, 홍영남, 이상임",을유문화사,"18,000원"
200,민주주의 공부  ,"얀-베르너 뮐러, 권채령",윌북,"16,020원"
201,i에게 ㅣ 아침달 시집 9 ,김소연,아침달,"9,000원"
202,경찰 헌법도약 기출문제집 - 전2권 ,이국령,윌비스(미래와사람 한림법학원),"22,500원"
203,2022 선재국어 나침판 기출 변형 모의고사 ㅣ 2022 선재국어  ,이선재,에스티유니타스,"18,900원"
204,좋은지 나쁜지 누가 아는가  ,류시화,더숲,"13,500원"
205,JLPT 일본어능력시험 한권으로 끝내기 N3 ㅣ JLPT 일본어능력시험 한권으로 끝내기 (2021 최신 개정판)  ,"이치우, 기타지마 치즈코",다락원,"24,300원"
206,비전공자도 이해할 수 있는 AI 지식 ,"박상길, 정진호",반니,"17,820원"
207,2022 권규호 국어 수능형 공무원 모의고사 2 ㅣ 2022 권규호 국어 수능형 공무원 모의고사 2 ,권규호,권규호언어연구실,"13,500원"
208,100억 젊은 부자들이 온다 ,신희은,길벗,"15,300원"
209,우리가 빛의 속도로 갈 수 없다면  ,김초엽,허블,"12,600원"
210,세계를 건너 너에게 갈게 ㅣ 문학동네 청소년 39 ,이꽃님,문학동네,"10,350원"
211,"2022 써니 행정법총론 SOS (Summary Of Sunny, 써니 요약집) ",박준철,지금(도서출판),"21,600원"
212,우당탕탕 야옹이와 금빛 마법사 ㅣ 큰곰자리 64 ,"구도 노리코, 윤수정",책읽는곰,"10,800원"
213,2022 고종훈 한국사 동형모의고사 시즌 1 ㅣ 2022 고종훈 한국사 동형모의고사  ,고종훈,메가스터디교육(공무원),"14,400원"
214,주술회전 18 ,"아쿠타미 게게, 이정운",서울미디어코믹스(서울문화사),"4,500원"
215,위저드 베이커리 (양장) ㅣ 소설Y   ,구병모,창비,"12,600원"
216,청춘 블라썸 시즌1 : 1~3 한정판 박스 세트 - 전3권 (굿즈 8종 + 전용수납케이스 포함) ,"홍덕, NEMONE",재담,"67,500원"
217,"사쿠라, 사쿠. 1 ","사키사카 이오, 장혜영",서울미디어코믹스(서울문화사),"5,400원"
218,파도야 놀자 ㅣ 비룡소의 그림동화 204 ,이수지,비룡소,"10,800원"
219,경험 많은 너와 경험 없는 내가 사귀게 된 이야기 1 ,"나가오카 마키코, magako, 조기",AK(에이케이)커뮤니케이션즈,"6,300원"
220,힐링 패러독스 ,시안 하루네,현대지능개발사,"4,950원"
221,소년이 온다  ,한강,창비,"12,600원"
222,2022 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화 (1.2.3급) ㅣ 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 시리즈  ,최태성,이투스북,"17,550원"
223,꽃잎 한 장처럼 ,"이해인, 오리여인",샘터사,"14,400원"
224,동물은 어떻게 슬퍼하는가 ,"바버라 J. 킹, 정아영",서해문집,"15,300원"
225,릿터 Littor 2022.4.5 ㅣ 릿터 Littor    ,릿터 편집부,민음사,"11,700원"
226,윤석열 X파일 ,열린공감TV 취재팀,열린공감TV,"14,400원"
227,나만의 순간들 ,김현경,FIKA(피카),"13,320원"
228,위풍당당 여우 꼬리 2 ㅣ 위풍당당 여우 꼬리 2 ,"손원평, 만물상",창비,"10,800원"
229,2022 최신판 에듀윌 공기업 코레일 한국철도공사 NCS+전공 봉투모의고사 6+2회 ,에듀윌 취업연구소,에듀윌,"15,300원"
230,150년 하버드 글쓰기 비법 ,송숙희,유노북스,"14,400원"
231,보도 섀퍼의 돈  ,"보도 섀퍼, 이병서",에포케,"12,600원"
232,재와 물거품 ㅣ 안전가옥 쇼-트 8 ,김청귤,안전가옥,"9,000원"
233,마음버스 ㅣ 바람 그림책 122 ,"김유, 소복이",천개의바람,"11,700원"
234,2022 이진욱 세무사의 공무원 지방세법 ,이진욱,배움,"19,800원"
235,계속 쓰기  ,"대니 샤피로, 한유주",마티,"16,200원"
236,2022 공인노무사 행정쟁송법 사례연습 ,윤성봉,에듀비,"29,700원"
237,나를 알고 싶을 때 뇌과학을 공부합니다 ,"질 볼트 테일러, 진영인",윌북,"17,820원"
238,여성향 게임 세계는 모브에게 가혹한 세계입니다 7 ,"미시마 요무, 몬다, 주승현",㈜소미미디어,"10,800원"
239,2022 김중규 선행정학 ALL PASS 모의고사 지방.서울 9급 ㅣ 2022 김중규 선행정학 ALL PASS 모의고사  ,김중규,카스파(주),"14,400원"
240,전념 ,"피트 데이비스, 신유희",상상스퀘어,"16,020원"
241,전설로 떠나는 월가의 영웅 ,"피터 린치, 존 로스차일드, 이건, 홍진채",국일증권경제연구소,"23,400원"
242,"수학, 개념 씹어먹고 공부해봤니? ",조안호,시공사,"14,400원"
243,체인소 맨 11 ,후지모토 타츠키,학산문화사(만화),"5,400원"
244,읽으면서 바로 써먹는 어린이 한국사 퀴즈 2 ㅣ 맛있는 공부 45 ,"한날, 전기현",파란정원,"10,800원"
245,2022 고종훈 한국사 주제별 기출 엄선 400제 ,고종훈,발해북스,"13,500원"
246,시원찮은 그녀를 위한 육성방법 미사키 쿠레히토 화집 상 Flat. ,"미사키 쿠레히토, 이승원",디앤씨미디어(주)(D&C미디어),"37,800원"
247,지적 대화를 위한 넓고 얕은 지식 1 ㅣ 지적 대화를 위한 넓고 얕은 지식 (개정판) 1 ,채사장,웨일북,"14,400원"
248,달콩이네 떡집 ㅣ 난 책읽기가 좋아  ,"김리리, 김이랑",비룡소,"9,900원"
249,오늘의 일인분 일식  ,"베터홈 협회, 이진숙",참돌,"3,960원"
250,고민의 답 ,글배우,강한별,"14,220원"
251,"세 살, 이제 막 시작하는 육아 ㅣ 굿모닝 굿나잇  ",서천석,김영사,"10,350원"
252,월급쟁이 부자로 은퇴하라 ,너나위,알에이치코리아(RHK),"16,200원"
253,머니 체인저 ,문준희(절약왕 정약용),마인드셋,"14,400원"
254,우리는 모두 각자의 별에서 빛난다 ,이광형,인플루엔셜(주),"14,850원"
255,"오늘 밤, 세계에서 이 사랑이 사라진다 해도 ","이치조 미사키, 권영주",모모,"12,600원"
256,주술회전 0 : 외전 ,"아쿠타미 게게, 이정운",서울미디어코믹스(서울문화사),"4,500원"
257,2022 해커스 공무원 신민숙 국어 문학.비문학 합격생 필기노트 ,신민숙,해커스공무원,"13,410원"
258,잘난 놈 심리학 ,"로버트 A. 글로버, 최한림",미래사,"14,400원"
259,흔한남매 9 ㅣ 흔한남매  ,"흔한남매, 백난도, 유난희, 흔한컴퍼니",미래엔아이세움,"12,150원"
260,이상한 과자 가게 전천당 13 ㅣ 이상한 과자 가게 전천당 13 ,"히로시마 레이코, 쟈쟈, 김정화",길벗스쿨,"10,800원"
261,스즈키 바이올린 교본 1 ㅣ 스즈키 바이올린 교본 1 ,세광음악 편집부,세광음악출판사,"10,800원"
262,강성태 66일 영어회화 ,강성태,다산북스,"15,300원"
263,얼굴만으론 좋아할 수 없어요 1 ,"안자이 카린, 이소연",서울미디어코믹스(서울문화사),"4,950원"
264,자랑의 기술 ,"메러디스 파인먼, 유혜인",문학동네,"14,850원"
265,키르케 (리커버 특별판) ,"매들린 밀러, 이은선",이봄,"15,300원"
