N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
53,SK바이오팜,"88,600","4,000",+4.73%,500,"69,386","78,313",5.99,"103,241",107.00,15.75,
54,LG디스플레이,"19,050",550,+2.97%,"5,000","68,164","357,816",16.39,"2,117,906",5.75,9.68,
55,롯데케미칼,"196,500",500,+0.26%,"5,000","67,351","34,275",24.27,"56,739",5.01,9.87,
56,한화솔루션,"34,500",550,+1.62%,"5,000","65,991","191,278",18.69,"454,355",10.44,8.79,
57,한국조선해양,"91,800","6,100",+7.12%,"5,000","64,970","70,773",19.32,"505,353",-6.99,-8.95,
58,LG유플러스,"14,250",150,-1.04%,"5,000","62,217","436,611",37.27,"962,786",8.73,9.47,
59,한온시스템,"11,500",400,+3.60%,100,"61,387","533,800",17.41,"476,571",19.90,13.83,
60,강원랜드,"27,650",150,+0.55%,500,"59,155","213,940",18.89,"324,896",-564.29,-0.33,
61,SKC,"156,000","1,000",-0.64%,"5,000","59,075","37,868",15.94,"241,509",26.75,11.60,
62,CJ제일제당,"390,000","3,500",-0.89%,"5,000","58,711","15,054",22.55,"24,691",10.42,10.76,
63,메리츠화재,"47,600","1,000",-2.06%,500,"57,418","120,625",11.62,"137,719",8.70,26.12,
64,맥쿼리인프라,"13,900",50,-0.36%,0,"56,274","404,846",14.49,"845,014",N/A,N/A,
65,F&F,"146,000","8,000",-5.19%,500,"55,928","38,307",13.88,"327,064",16.05,N/A,
66,현대제철,"41,450",450,+1.10%,"5,000","55,313","133,446",20.73,"473,232",3.79,8.54,
67,메리츠금융지주,"41,400",200,+0.49%,500,"54,255","131,051",7.01,"184,463",7.03,22.33,
68,에스디바이오센서,"51,600",700,-1.34%,500,"53,288","103,271",12.68,"183,566",4.75,72.47,
69,삼성중공업,"5,990",440,+7.93%,"1,000","52,712","880,000",14.39,"12,359,038",-2.92,-36.89,
70,미래에셋증권,"8,450",90,+1.08%,"5,000","51,994","615,316",13.97,"640,019",5.80,11.66,
71,KODEX 200,"36,440",680,+1.90%,0,"51,071","140,150",7.57,"3,308,868",N/A,N/A,
72,현대건설,"45,050",400,+0.90%,"5,000","50,166","111,356",23.22,"337,399",12.34,5.89,
73,DB손해보험,"69,800",600,-0.85%,500,"49,418","70,800",43.25,"168,642",5.68,13.38,
74,코웨이,"66,700","1,000",+1.52%,500,"49,224","73,800",61.13,"107,670",10.57,27.41,
75,삼성엔지니어링,"24,300",550,+2.32%,"5,000","47,628","196,000",40.42,"911,481",12.79,20.67,
76,금호석유,"154,000","2,500",+1.65%,"5,000","46,656","30,296",20.06,"45,226",2.62,47.76,
77,HD현대,"57,300","1,900",+3.43%,"1,000","45,263","78,993",16.12,"250,079",-34.21,-1.99,
78,메리츠증권,"6,830",110,+1.64%,"1,000","45,064","659,791",12.88,"829,339",6.46,15.77,
79,일진머티리얼즈,"95,600",800,+0.84%,500,"44,082","46,111",11.52,"194,879",70.24,7.85,
80,유한양행,"60,000",400,+0.67%,"1,000","43,939","73,231",18.05,"137,332",43.51,5.45,
81,한국타이어앤테크놀로지,"34,450","1,000",+2.99%,500,"42,675","123,875",40.01,"297,934",7.14,7.69,
82,한국금융지주,"75,700",600,+0.80%,"5,000","42,185","55,726",34.85,"106,116",2.64,27.12,
