iter	Passed	Remaining
1162	1975	62
1163	1977	61
1164	1978	59
1165	1980	57
1166	1981	56
1167	1983	54
1168	1985	52
1169	1987	50
1170	1988	49
1171	1990	47
1172	1992	45
1173	1993	44
1174	1995	42
1175	1997	40
1176	1998	39
1177	2000	37
1178	2002	35
1179	2003	33
1180	2005	32
1181	2007	30
1182	2008	28
1183	2010	27
1184	2012	25
1185	2013	23
1186	2015	22
1187	2016	20
1188	2018	18
1189	2020	16
1190	2021	15
1191	2023	13
1192	2024	11
1193	2026	10
1194	2028	8
1195	2029	6
1196	2031	5
1197	2033	3
1198	2035	1
1199	2037	0
